合同编号:,DFCG2017-0386-11
合同名称:,政采合同（2017年中外文数据库购置项目包11）
项目编号:,2017CG1883-11
项目名称:,安徽理工大学采购2017年中外文数据库购置项目 第11包:超星尔雅学术视频、读秀学术搜索、移动图书馆
采购人（甲方）:,安徽理工大学
供应商（乙方）:,北京超星数图信息技术有限公司
所属地域:,安徽省 淮南市 大通区
所属行业:,互联网信息服务
合同金额:,40.990000万元
合同签订日期:,2018-03-05
合同公告日期:,2018-04-12
代理机构:,安徽安然工程造价咨询有限责任公司
中标、成交公告:,安徽理工大学采购2017年中外文数据库购置项目第11包:超星尔雅学术视频、读秀学术搜索、移动图书馆中标公告
合同附件:,
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
