合同编号:	JBZC2020_014205_302-JH007-XM001-003
合同名称:	2020年校内专项-外文资源建设政府采购合同
项目编号:	JBZC2020_014205_302-JH007-XM001
项目名称:	2020年校内专项-外文资源建设
采购人（甲方）:	首都经济贸易大学
供应商（乙方）:	中国教育图书进出口有限公司
所属地域:	北京市
合同金额:	200.0200000   万元
合同签订日期:	2020-06-01
合同公告日期:	2020-07-02
代理机构:	北京市京发招标有限公司
中标、成交公告:	2020年校内专项-外文资源建设外文原版图书、外文原版期刊、外文综合性全文数据库、外文学科专题数据库、外文电子图书数据库中标公告
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，北京政府采购网对其内容概不负责，亦不承担任何法律责任。
