合同编号:	2019-YRCC-YMJQQ-02
合同名称:	黄河古贤水利枢纽工程（山西省境内）地质遗迹资源调查报告编制
项目编号:	DHZ2019-YMJGXCG-01
项目名称:	黄河古贤水利枢纽工程（山西省境内）地质遗迹资源调查报告编制
采购人（甲方）:	黄河水利委员会移民局
供应商（乙方）:	山西省地质调查院
所属地域:	山西省
所属行业:	水利、环境和公共设施管理业
合同金额:	79.800000万元
合同签订日期:	2019-07-17
合同公告日期:	2019-07-17
代理机构:	河南大河招标有限公司
中标、成交公告:	黄河古贤水利枢纽工程（山西省境内）地质遗迹资源调查报告编制
合同附件:	黄河古贤水利枢纽工程（山西省境内）地址遗迹资源调查报告编制.pdf下载
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
