合同编号:,2020技术中心3号
合同名称:,汕头海关澄海区外经大楼办公检测场所改造装修项目合同
项目编号:,PZH020A030
项目名称:,汕头海关澄海区外经大楼办公检测场所改造装修项目
采购人（甲方）:,中华人民共和国汕头海关技术中心
供应商（乙方）:,汕头市建筑工程总公司
所属地域:,广东省 汕头市
所属行业:,建筑装饰业
合同金额:,163.100392万元
合同签订日期:,2020-06-12
合同公告日期:,2020-06-16
代理机构:,广东平正招标采购服务有限公司
中标、成交公告:,汕头海关澄海区外经大楼办公检测场所改造装修项目中标公告采购编号:PZH020A030
合同附件:,汕头海关澄海区外经大楼办公检测场所改造装修项目合同.doc下载
免责声明,本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
