合同编号:	HNDW 2018 - 018
合同名称:	鹦哥岭保护区边界界桩更新及鹦哥嘴分站维修工程合同书
项目编号:	HNDWZB201808015
项目名称:	鹦哥岭保护区边界界桩更新及鹦哥嘴分站维修工程
采购人（甲方）:	海南鹦哥岭省级自然保护区管理站
供应商（乙方）:	海南琼安建筑工程有限公司
所属地域:	海南省 省直辖县级行政单位 白沙黎族自治县
所属行业:	农、林、牧、渔业
合同金额:	31.605422万元
合同签订日期:	2018-09-04
合同公告日期:	2018-09-19
代理机构:	海南大为招标代理有限公司
中标、成交公告:	海南鹦哥岭省级自然保护区管理站 -鹦哥岭保护区边界界桩更新及鹦哥嘴分站维修工程-成交公告
合同附件:	
免责声明	本页面提供的政府采购合同是按照《中华人民共和国政府采购法实施条例》的要求由采购人发布的，中国政府采购网对其内容概不负责，亦不承担任何法律责任。
