高港高新区华创电子信息产业园厂房建设项目的中标公告
项目编号,3212031910310101
项目名称,高港高新区华创电子信息产业园厂房建设项目
标段编号,3212031910310101-BB-001
标段名称,高港高新区华创电子信息产业园厂房建设勘察工程
建设单位名称,泰州市华创开发建设有限公司
项目类型,其它
发包类型,公开招标
中标单位名称,江苏长江机械化基础工程有限公司
项目经理姓名,洪望曦
中标价（万元|%）,12.00
中标工期（天）,20
中标时间,2019年12月24日
评标委员会成员:,"葛爱梅,陈彪,周秋根"
招标人定标原因及依据,公示期间无异议，根据本招标文件定标原则，招标人确定第一中标候选人为中标人
工程地点,高港区许庄街道永平路北侧、永进路南侧、东风路西侧
