项目信息
备案项目编号,2019-441900-49-03-003902
项目名称,中央储备粮东莞直属库有限公司北库区防雷装置整改项目
项目所在地,东莞市麻涌镇新沙港工业区
项目总投资,134.8万元
项目规模及内容,中央储备粮东莞直属库有限公司，现改建占地面积为15000平方米的储存油类的设施设备，属于危险品需要安装防雷设备以防雷电雷击，依据GB50057-2010《建筑物防雷设计规范》，按二类设计;在总配电箱处安装T1级浪涌保护器。
建设单位,中央储备粮东莞直属库有限公司
备案机关,东莞市麻涌镇工业信息科技局
备案申报日期,2019-01-21 17:32:11.0
复核通过日期,2019-01-25 00:00:00.0
项目起止年限,"2019-01-01 00:00:00.0
 											 - 2019-03-01 00:00:00.0"
项目当前状态,办结（通过）
