项目信息
备案项目编号,2019-440514-17-03-011760
项目名称,节能节水高效印染加工项目
项目所在地,汕头市潮南区陇田镇潮南纺织印染环保综合处理中心YR-C-0301-4地块
项目总投资,12000.0万元
项目规模及内容,总用地面积11239.43平方米，主要建筑厂房及配套，总建筑面积34000平方米。引进节能节水高效印染加工设备。
建设单位,汕头市合辉染织有限公司
备案机关,潮南区发展和改革局
备案申报日期,2019-03-15 08:07:27.0
复核通过日期,2019-03-15 00:00:00.0
项目起止年限,"2019-03-01 00:00:00.0
 											 - 2019-09-01 00:00:00.0"
项目当前状态,办结（通过）
